ID,BEAUTIFUL WARRIOR TITLE,BEAUTIFUL WARRIOR NAME,INITIAL STAR RATING,RARITY,HAS EX GEAR,BEAUTIFUL WARRIOR ATTRIBUTE,BEAUTIFUL WARRIOR TYPE,KEYWORD,BEAUTIFUL WARRIOR INTRO,,,,
1,Ancient Princess,Menace,5,elite,0,Break,Mage,"ATK RED, Removal, Group ATK","The princess of the ancient Amara Kingdom, which was destroyed long ago, who has been resurrected as undead. Unlike most undead, she is a beautiful woman with a seductive figure, and her clothing is also quite extreme. in battle, she makes full use of her killer fighting technique that absorbs the life force of her opponents. She does things her way and behind her behavior lies her dream: the revival of the Amara Kingdom.",,,,
2,Captain of the Royal Guard,Elina,5,elite,0,Mind,Mage,"Immobilize, Heal Down, Freeze","The third daughter of the noble Vance family and the younger sister of Leina,a Beautiful Warrior. She is more talented than her older sisters in martial arts,and is extraordinarily attached to Leina. Although she has a fierce temperament,she is proud of her position as a leader,and like Leina,she has the qualities of a monarch.",,,,
3,Master of Distraction,Warbellia,5,elite,0,Physical,Mage,"Burn, Blind, DMG UP","An evil entity that plans to dominate the continent. She employs beings from Hell and devises schemes to corrupt the world. Her soul was sealed away, but now that she has obtained the ideal host, the Demon King's daughter Warbellia, she is able to fully display her power. She is also known as the Swamp Witch",,,,
4,Gemstone Maiden,Eilin,5,heroic,0,Mind,Tank,"Protect, Counter, Stun","The daughter of the dwarf King of Gemstone Mountain, one of the wealthiest regions on the continent. Although she is graceful and ladylike, she is formidable in battle, wielding an enormous hammer. She has a cousin named Ymir, whom she greatly admires.",,,,
5,Lord of Thundercloud,Claudette,5,heroic,1,Physical,Tank,"Burn, Revive","A woman of exceptional character, battle, and command. She was born the eldest daughter of the noble Count Vance, but because she is not the legitimate daughter of his wife, she has little right of succession and only serves her father as a general. She cares for and worries about her younger sisters Leina, who has run away from home, and Elina, who is uninhibited. Her weapon of choice is the ""Thunderclap"", an electric greatsword clad in lightning.",,,,
6,Dragon Warrior,Branwen,5,common,0,Break,Warrior,"Barrage, Heal Down","A woman who once rode through the skies as the noblest Holy Dragon Warrior on the continent. Now, she is a gladiator slave, risking her life in lowly battle arenas. No matter what she has become, she has not lost her pride or strength. The dragon's blood that flows through Branwen's body responds to her rage to vanquish all her enemies.",,,,
7,Hinomoto Style,Tomoe,5,heroic,0,Mind,Warrior,"ATK UP, Ignore DEF, CRT RED","A warrior priestess from the far eastern nation of Hinomoto, a land she is entrusted to protect. Despite her demure demanor she is an expert fighter, capable of vanquishing evil in a single stroke. She can also protect herself using paper talismans filled with spiritual energy, making her skilled at both offense and defense. Her only weakness is her lack of experience.",,,,
8,Angel of Light,Nanael,5,common,0,Mind,Support,"Heal, Shield","An angel sent from heaven to supervise the Queen's Blade tournament. She is known for her clumsiness and a string of scandals, which led her to become a dropout. As punishment for her mistakes, she was given a bottle of ""Holy Milk"" and ordered to compete in the Queen's Blade tournament without spilling it. One of her wings is bigger than the other, something she is quite sensitive about.",,,,
9,Phantom Warrior,Leina,5,elite,0,Physical,Warrior,"Burn, CRT, Silence","The heiress of the continent's noble Vance family, she is a proud Beautiful Warrior who is determined to demonstrate her abilities with her sword. She has traveled all over the world and overcome difficulties, giving us a glimpse of her real capacity as a true ruler.",,,,
10,Infernal Servant,Airi,5,elite,0,Physical,Mage,"Burn, CRT, DMG UP","A wraith who serves a swamp witch. Though she feeds on the life force of humans, she does her best to accommodate her mistress's demands. Because she is a departed spirit, she needs energy to remain in this world, and will disappear if she does not absord human vitality. She is especially fond of the vitality of beautiful women.",,,,
