ID,BEAUTIFUL WARRIOR ID,SKILL NAME,SKILL TYPE,SKILL LEVEL,SKILL DESCRIPTION,effect 1,effect 2
1,1,Curse Fist,active,1,"Deal 180% Mag. DMG to 1 enemy with the highest ATK, with a 60% chance of inflicting target's ATK -20% (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.",,
2,1,Resurrected Princess,passive,1,"ATK +15%, HP +10%",,
3,1,Shine Pyramid,active,1,"Deals 104% Mag. DMG to all enemies, and there is a 50% chance to remove all buffs of the target. Cooldown: 4 turn(s) and triggers on turn 2.",,
4,1,Amara Influence,passive,1,"Enhances Curse Fist, dealing 40% DMG to a random enemy.",,
5,2,Leap Attack,active,1,"Deals 113% of Mag. DMG to the horizontal line with the most enemies, with a 35% chance of inflicting [Revive Block] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Revive Block, Revive Block",
6,2,Gifted,passive,1,"HP +15%, ATK +5%, SPD +10",,
7,2,Quadruple Pierce,active,1,"Deals 90% Mag. DMG to 4 random enemies, with a 28% chance of inflicting [Freeze] (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on 2","Freeze, Inflicts [Immobilize]. Effect removed after 3 attacks, but affected Beautiful Warrior takes Shaved Ice DMG equal to 10% of attacker's ATK.",
8,2,Sisterly Love,passive,1,"At the start of the battle, Rec. Healing of all enemies -30%. Lasts 3 turns.",,
9,3,Dark Shot,active,1,"Deals 50% Mag. DMG to 3 random enemies, with a 50% chance of inflicting [Burn] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Burn, Target loses HP equal of 15% of user's ATK every turn. Effect can be stacked.",
10,3,Devil's Daughter,passive,1,"ATK +15%, HP +5%",,
11,3,Chaos Frame,active,1,"Deals 134% Mag. DMG to 3 random enemies, with a 40% chance of inflicting [Blind]. Preferentially attacks enemies with [Burn/Flame Burn]. Cooldown: 4 turn(s) and triggers on turn 2.","Burn, Target loses HP equal of 15% of user's ATK every turn. Effect can be stacked.","Blind, HIT -10%"
12,3,Evil Incarnate,passive,1,Damage to targets affected by [Burn/Flame Burn] +10% (CRT Rate +30% only when attacking). Attacks enemies affected by [Burn/Flame Burn] first.,,
13,4,Hammerfall,active,1,"Deals 144% Phys. DMG to 1 enemy, with a 40% chance of inflicting [Stun] (Lasts: 1 turn). Prioritizes Warriors with a 70% chance of inflicting [Stun]. Cooldown: 2 turn(s) and triggers on turn 1.","Stun, Inflicts [Immobilize]",
14,4,Negotiator,passive,1,"DEF +20%, HP +10%, DMG RES +10%",,
15,4,Guarded Jewels,active,1,"One ally with the highest attack takes 50% of DMG, removes all debuffs from the target, target's DMG RES +20%, Immobilize RES +15%. Lasts 2 turns. Cooldown: 4 turn(s) and triggers on turn 2.",,
16,4,Wealth if Power,passive,1,Own SPD +2% when damaged (Lasts: until end of the battle. Max stacks: 5). 80% chance to deal a guaranteed counterattack equal to 100% own ATK.,,
17,5,Thundercloud Sword,active,1,"Attacks enemies directly in front. If using a Fire attack, deals 108% Mag DMG, with 40% chance to inflict [Flame Burn] equal to 7% of the user's Max HP (Lasts: 1 turn). If Ice, deals 72% Mag. DMG and heals the user equal to 5% of max HP.","Flame Burn, Loses HP equal to 7% of user's Max HP every turn.",
18,5,Commanding Talent,passive,1,"HP +20%, ATK +10%",,
19,5,Unyielding,passive,1,Revives with 35% HP after death. DMG RES +20% for 2 turns. Cooling 15 turns,,
20,5,Finest Swordswoman,passive,1,50% chance of inflicting [Flame Burn] when damages (Lasts: 1 turn).,"Flame Burn, Loses HP equal to 7% of user's Max HP every turn.",
21,6,Dragon's Blood,active,1,"Deals a total of 364% Phys. DMG to 1 enemy in the front with 5 combo attacks, and cannot move for 1 turn after use. Cooldown: 4 turn(s) and triggers on turn 2.",,
22,6,Dragon Kin,passive,1,"ATK +10%, CRT Rate +5%",,
23,6,Combo Attack,active,1,Deals a total of 130% Phys. DMG to enemies in the front and middle rows 5 times in a row. Cooldown: 4 turn(s) and triggers on turn 1.,,
24,7,Piercing Wind,active,1,"Deals 180% Phys. DMG to 1 enemy in the bottom row (ignores 10% of target's DEF), ATK +15% (Lasts: 3 turns). Cooldown: 2 turn(s) and triggers on turn 1.",,
25,7,Nation's Protector,passive,1,"ATK +20%, HP +10%, CRT Rate +5%",,
26,7,Guarding Gale,active,1,"Deals 130% Phys. DMG to enemies in the front and middle rows, with a 50% chance of reducing 15% target's CRT Rate (Lasts: 2 turns). Cooldown: 4 turn(s) and triggers on turn2.",,
27,7,Sword Mastery,passive,1,"ATK +5% after action (Lasts: 2 turns), the effect can be stacked.",,
28,8,Heal,active,1,"Heals the ally with lowest HP (Recovery amount is 189% of own ATK), and has a 30% chance to remove all debuffs. Cooldown: 2 turn(s) and triggers on turn 1.",,
29,8,Elite Angel,passive,1,"HP +10%, ATK +5%",,
30,8,Heal All,active,1,"Heals all allies' HP (Recovery amount is 109% of own ATK), and grants [Protective Shield] to Ally Mages. Cooldown: 4 turn(s) and triggers on turn 2.","Protective Shield, Reduces 1 instance of DMG (excluding Cont. DMG). Effect cannot be stacked.",
31,9,Shield Bash,active,1,"Deals 171% Phys. DMG to 1 enemy with the highest ATK, with a 30% chance of inflicting [Silence] (Lasts: 1 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Silence, Active skills not available",
32,9,Masked Warrior,passive,1,"ATK +15%, HP +5%",,
33,9,Dragon Fang,active,1,"Inflicts 247% Phys. DMG to 1 enemy in front. If the target has [Burn/Flame Burn] applied, CRT Rate +50%. Cooldown: 4 turn(s) and triggers on turn 2.",,
34,9,Unexpected Appearance,passive,1,DMG to Support +20%,,
35,10,Hell Fire,active,1,"Deals 77% Mag. DMG to 3 random enemies, with a 40% chance of inflicting [Burn] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1","Burn, Target loses HP equal of 15% of user's ATK every turn. Effect can be stacked.",
36,10,Loyal Servant,passive,1,"ATK +15%, HP +5%",,
37,10,Infernal Tempter,active,1,Deals 88% Mag. DMG to all enemies. CRT Rate +60% for enemies with [Burn/Flame Burn] applied. Cooldown: 4 turn(s) and triggers on turn 2.,,
38,10,Spirit of Death,passive,1,DMG to enemies with [Burn/Flame Burn] status +10%,,
39,11,Warrior Chief's Teaching,active,1,Heals 3 allies with the lowest HP. (Recovery amount is 57% of own ATK). Heals HP equal to 10% ATK every turn. Lasts 2 turns. Cooldown: 2 turn(s) and triggers on turn 1.,,
40,11,Sympathize,passive,1,"HP +10%, ATK +5%",,
41,11,Thoughts of Alleyne,active,1,"Revives 1 defeated ally and heals them (Recovery amount is 109% of own ATK). If all allies are alive, heals the ally with the lowest life (Recovery amount is 185% of own ATK). Cooldown: 4 turn(s) and triggers on turn 2.",,
42,12,Full Circle Slash,active,1,"Deals 144% Phys. DMG to enemies directly in front, with a 30% chance of inflicting [Provoke] (Lasts: 2 turns). Cooldown: 2 turn(s) and triggers on turn 1.","Provoke, Forces the affected enemy to perform a Normal Attack on the user.",
43,12,Ruins Guardian,passive,1,"HP +10%, DEF +5%",,
44,12,Trance,active,1,DMG RES +15% (Lasts: 3 turns). Cooldown: 4 turn(s) and triggers on turn 2.,,
45,13,Healing,active,1,"Heals one ally with the lowest HP (Recovery amount is 117% of own ATK), and grants [Shield]. Cooldown: 2 turn(s) and triggers on turn 1.",,
46,13,Apprentice Angel,passive,1,"HP +10%, ATK +5%",,
